publisher	title	卷	潮州歌叙录	wikicommons_file	digital_transcription
潮州義安路李萬利	古板新造忠義節十不全全歌	5~7	104	CADAL13030379_古板新造忠義節十不全全歌（卷五至卷七）.djvu	
潮州義安路李萬利	古板新造昇仙圖全歌	1~3	105	CADAL13030732_古板新造昇仙圖全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造昇仙圖全歌	4~5	105	CADAL13030733_古板新造昇仙圖全歌（卷四至卷五）.djvu	
	新造花會圖歌		106		
潮州義安路李萬利	古板新造蕭光祖下棚寶魚蘭全歌	1~6	107	CADAL13030706_古板新造蕭光祖下棚寶魚蘭全歌（卷一至卷六）.djvu	
潮州義安路李萬利	古板新造蕭光祖下棚寶魚蘭全歌	7~12	107	CADAL13030707_古板新造蕭光祖下棚寶魚蘭全歌（卷七至卷十二）.djvu	
	陳三五娘		108		
潮州義安路李萬利	古板新造宋朝賣油郎全歌	1~4	109	CADAL13030470_古板新造宋朝賣油郎全歌（卷一至卷四）.djvu	
潮州義安路李萬利	古板新造度三娘全歌	1~3	110	CADAL13030465_古板新造度三娘全歌（卷一至卷三）.djvu	
潮州李春記書坊	新造柳世清雙噩魚	1~5	111	CADAL13030402_新造柳世清雙噩魚（卷一至卷五）.djvu	
潮州李春記書坊	新造柳世清雙噩魚	6~10	111	CADAL13030403_新造柳世清雙噩魚（卷六至卷十）.djvu	
潮州義安路李萬利	古板春樹柳八美圖全歌	1~5	112	CADAL13030477_古板春樹柳八美圖全歌（卷一至卷五）.djvu	
潮州義安路李萬利	古板春樹柳八美圖全歌	6~10	112	CADAL13030478_古板春樹柳八美圖全歌（卷六至卷十）.djvu	
潮州義安路李萬利	古板春樹柳八美圖全歌	11~14	112	CADAL13030479_古板春樹柳八美圖全歌（卷十一至卷十四）.djvu	
潮州義安路李萬利	古板春樹柳八美圖全歌	15~18	112	CADAL13030480_古板春樹柳八美圖全歌（卷十五至卷十八）.djvu	
	新造臨江樓		113		
潮州義安路李萬利	古板新造背解紅羅全歌	1~7	114	CADAL13030667_古板新造背解紅羅全歌（卷一至卷七）.djvu	
潮州義安路李萬利	古板新造背解紅羅全歌	8~12	114	CADAL13030668_古板新造背解紅羅全歌（卷八至卷十二）.djvu	
潮州義安路李萬利	古板新造背解紅羅全歌	13~17	114	CADAL13030669_古板新造背解紅羅全歌（卷十三至卷十七）.djvu	
潮州義安路李萬利	古板新造背解紅羅全歌	18~22	114	CADAL13030670_古板新造背解紅羅全歌（卷十八至卷廿二）.djvu	
潮州義安路李萬利	古板新造背解紅羅全歌	廿3~廿7	114	CADAL13030671_古板新造背解紅羅全歌（卷廿三至卷廿七）.djvu	
潮州義安路李萬利	古板新造珊瑚寶楊大貴全歌	1~4	115	CADAL13030375_古板新造珊瑚寶楊大貴全歌（卷一至卷四）.djvu	https://web.archive.org/web/20071206053809/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-115.htm
潮州義安路李萬利	古板新造珊瑚寶楊大貴全歌	5~7	115	CADAL13030376_古板新造珊瑚寶楊大貴全歌（卷五至卷七）.djvu	https://web.archive.org/web/20071206053809/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-115.htm
潮州義安路李萬利	古板新造珊瑚寶楊大貴全歌	8~10	115	CADAL13030377_古板新造珊瑚寶楊大貴全歌（卷八至卷十）.djvu	https://web.archive.org/web/20071206053809/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-115.htm
	新造張古動		116		
潮州義安路李萬利	古板張翼鵬王秀珍男貞女烈香毬記	1~2	117	CADAL13030736_古板張翼鵬王秀珍男貞女烈香毬記（卷一至卷二）.djvu	
	新造趙匡胤下南唐收余鴻		118		
潮州義安路李萬利	古板新造二歲夫全歌	1~5	119	CADAL13030471_古板新造二歲夫全歌（卷一至卷五）.djvu	
潮州義安路李萬利	古板新造二歲夫全歌	6~8	119	CADAL13030472_古板新造二歲夫全歌（卷六至卷八）.djvu	
潮州李春記書坊	新造秦雪梅全歌	1~4	120	CADAL13030305_新造秦雪梅全歌（卷一至卷四）.djvu	
潮州李春記書坊	新造秦雪梅全歌	5~8	120	CADAL13030304_新造秦雪梅全歌（卷五至卷八）.djvu	
潮州李春記書坊	新造秦雪梅全歌	1~4	120	CADAL13030509_新造秦雪梅全歌（卷一至卷四）.djvu	
潮州李春記書坊	新造秦雪梅全歌	5~8	120	CADAL13030510_新造秦雪梅全歌（卷五至卷八）.djvu	
潮州義安路李萬利	古板新造秦雪梅下集全歌	1~6	121	CADAL13030704_古板新造秦雪梅下集全歌（卷一至卷六）.djvu	
潮州義安路李萬利	古板新造秦雪梅下集全歌	7~13	121	CADAL13030705_古板新造秦雪梅下集全歌（卷七至卷十三）.djvu	
潮州義安路李萬利	古板新造秦鳳蘭忠義亭全歌	1~3	122	CADAL13030451_古板新造秦鳳蘭忠義亭全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造秦鳳蘭忠義亭全歌	4~5	122	CADAL13030452_古板新造秦鳳蘭忠義亭全歌（卷四至卷五）.djvu	
潮州義安路李萬利	古板新造秦鳳蘭忠義亭全歌	7~8	122	CADAL13030453_古板新造秦鳳蘭忠義亭全歌（卷七至卷八）.djvu	
潮州義安路李萬利	古板新造秦鳳蘭忠義亭全歌	9~10	122	CADAL13030454_古板新造秦鳳蘭忠義亭全歌（卷九至卷十）.djvu	
潮州義安路李萬利	古板新造秦世美全歌	1~6	123	CADAL13030303_古板新造秦世美全歌（卷一至卷六）.djvu	https://zh.wikisource.org/wiki/Index:CADAL13030303_古板新造秦世美全歌（卷一至卷六）.djvu
	新造挽面案歌		124		
	新造海門案		125		
潮州義安路李萬利	古板新造鐵扇記下棚	1~3	126	CADAL13030309_古板新造鐵扇記下棚（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造鐵扇記下棚	4~5	126	CADAL13030310_古板新造鐵扇記下棚（卷四至卷五）.djvu	
潮州李春記書坊	古板最新翁萬達全歌	1~4	127	CADAL13030740_古板最新翁萬達全歌（卷一至卷四）.djvu	
潮州李春記書坊	古板最新翁萬達全歌	5~8	127	CADAL13030741_古板最新翁萬達全歌（卷五至卷八）.djvu	
潮州李春記書坊	古板最新翁萬達全歌	9~11	127	CADAL13030742_古板最新翁萬達全歌（卷九至卷十一）.djvu	
	新造梁山伯祝英台全歌		128		
潮州義安路李萬利	古板新造隋唐演義右調彈詞	1~6	129	CADAL13030655_古板新造隋唐演義右調彈詞（卷一至卷六）.djvu	
潮州義安路李萬利	古板新造隋唐演義右調彈詞	7~12	129	CADAL13030656_古板新造隋唐演義右調彈詞（卷七至卷十二）.djvu	
潮州義安路李萬利	古板新造隋唐演義右調彈詞	13~20	129	CADAL13030657_古板新造隋唐演義右調彈詞（卷十三至卷二十）.djvu	
潮州義安路李萬利	古板新造隋唐演義右調彈詞	21~26	129	CADAL13030658_古板新造隋唐演義右調彈詞（卷二十一至卷二十六）.djvu	
潮州義安路李萬利	古板新造隋唐演義右調彈詞	27~32	129	CADAL13030659_古板新造隋唐演義右調彈詞（卷二十七至卷三十二）.djvu	
潮州義安路李萬利	古板新造隋唐演義右調彈詞	33~38	129	CADAL13030660_古板新造隋唐演義右調彈詞（卷三十三至卷三十八）.djvu	
潮州義安路李萬利	古板新造隋唐演義右調彈詞	39~44	129	CADAL13030661_古板新造隋唐演義右調彈詞（卷三十九至卷四十四）.djvu	
潮州義安路李萬利	古板新造隋唐演義右調彈詞	45~50	129	CADAL13030662_古板新造隋唐演義右調彈詞（卷四十五至卷五十）.djvu	
潮州義安路李萬利	古板新造隋唐演義右調彈詞	57~62	129	CADAL13030664_古板新造隋唐演義右調彈詞（卷五十七至卷六十二）.djvu	
潮州義安路李萬利	古板新造隋唐演義右調彈詞	63~68	129	CADAL13030665_古板新造隋唐演義右調彈詞（卷六十三至卷六十八）.djvu	
潮州義安路李萬利	古板新造隋唐演義右調彈詞	69~74	129	CADAL13030666_古板新造隋唐演義右調彈詞（卷六十九至卷七十四）.djvu	
潮州李春記書坊	新編移花接木竹箭悞	1~3	130	CADAL13030748_新編移花接木竹箭悞（卷一至卷三）.djvu	
潮州李春記書坊	新編移花接木竹箭悞	4~5	130	CADAL13030749_新編移花接木竹箭悞（卷四至卷五）.djvu	
潮州義安路李萬利	古板新造崔鳴鳳薦佛衣全歌	1~6	131	CADAL13030545_古板新造崔鳴鳳薦佛衣全歌（卷一至卷六）.djvu	
潮州義安路李萬利	古板新造崔鳴風子全歌	6~10	132	CADAL13030952_古板新造崔鳴風子全歌（卷六至卷十）.djvu	
潮州義安路李萬利	古板新造崔鳴風子全歌	11~14	132	CADAL13030953_古板新造崔鳴風子全歌（卷十一至卷十四）.djvu	
潮州義安路李萬利	板新造崔鳴風子全歌	1~5	132	CADAL13030455_板新造崔鳴風子全歌（卷一至卷五）.djvu	
潮州義安路李萬利	古板新造乾隆君遊山東面巾記全歌	1~5	133	CADAL13030363_古板新造乾隆君遊山東面巾記全歌（卷一至卷五）.djvu	
	新造乾隆君遊石蓮寺全歌		134		
	新造乾隆君又江南全歌		135		
	新造乾隆君遊蘇州		136		
潮州義安路李萬利	古板新造黃雙孝瓊花記	1~3	137	CADAL13030366_古板新造黃雙孝瓊花記（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造黃雙孝瓊花記	4~6	137	CADAL13030367_古板新造黃雙孝瓊花記（卷四至卷六）.djvu	
潮州義安路李萬利	古板新造溫涼寶盞全歌	1~3	138	CADAL13030468_古板新造溫涼寶盞全歌（卷一至卷三）.djvu	https://web.archive.org/web/20080615015408/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-138.htm
潮州義安路李萬利	古板新造溫涼寶盞全歌	4~5	138	CADAL13030469_古板新造溫涼寶盞全歌（卷四至卷五）.djvu	https://web.archive.org/web/20080615015408/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-138.htm
	新造瓊花圖歌		139		
潮州義安路李萬利	古板新造馮長春全歌	1~3	140	CADAL13030747_古板新造馮長春全歌（卷一至卷三）.djvu	
	新造綠牡丹擂台記		141		
潮州李春記書坊	新造賜綠袍	1~2	142	CADAL13030371_新造賜綠袍（卷一至卷二）.djvu	
潮州李春記書坊	新造賜綠袍	3~4	142	CADAL13030372_新造賜綠袍（卷三至卷四）.djvu	
潮州李春記書坊	新造賜綠袍	5~6	142	CADAL13030373_新造賜綠袍（卷五至卷六）.djvu	
潮州李春記書坊	新造賜綠袍	7~8	142	CADAL13030374_新造賜綠袍（卷七至卷八）.djvu	
	最新改良新中華革軍緣起全歌		143		
潮州義安路李萬利	古板新造錦鴛鴦全歌	1~3	144	CADAL13030280_古板新造錦鴛鴦全歌（卷一至卷三）.djvu	
	錦香亭綾帕記		145		
潮州義安路李萬利	古板新造省城滴水記全歌	1~4	146	CADAL13030743_古板新造省城滴水記全歌（卷一至卷四）.djvu	
潮州義安路李萬利	古板新造蜘蛛記全歌	1~2	147	CADAL13030544_古板新造蜘蛛記全歌（卷一至卷二）.djvu	
	新造雌雄寶盞		148		
	新造碧玉魚仔全歌		149		
潮州李春記書坊	最新潮洲柳知府全歌	1~3	150	CADAL13030414_最新潮洲柳知府全歌（卷一至卷三）.djvu	
潮州李春記書坊	最新潮洲柳知府全歌	4~5	150	CADAL13030415_最新潮洲柳知府全歌（卷四至卷五）.djvu	
	新造潮陽案		151		
潮州義安路李萬利	古板新造潘葛仔全歌	1~3	152	CADAL13030503_古板新造潘葛仔全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造潘葛仔全歌	4~6	152	CADAL13030504_古板新造潘葛仔全歌（卷四至卷六）.djvu	
	新造樊梨花征西		153		
	新造樊梨花征西下棚		154		
	新造鬧嚴府打破玉花瓶		155		
潮州義安路李萬利	古板新造蔣興哥重會珍珠衫全歌	1~4	156	CADAL13030505_古板新造蔣興哥重會珍珠衫全歌（卷一至卷四）.djvu	
潮州李春記書坊	最新饒安案全歌	1~4	157	CADAL13030678_最新饒安案全歌（卷一至卷四）.djvu	
潮州李春記書坊	最新饒安案全歌	5~8	157	CADAL13030679_最新饒安案全歌（卷五至卷八）.djvu	
潮州義安路李萬利	古板新造薛仁貴征東全歌	1~3	158	CADAL13030293_古板新造薛仁貴征東全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造薛仁貴征東全歌	4~6	158	CADAL13030294_古板新造薛仁貴征東全歌（卷四至卷六）.djvu	
潮州義安路李萬利	古板新造薛仁貴征東全歌	7~9	158	CADAL13030295_古板新造薛仁貴征東全歌（卷七至卷九）.djvu	
潮州義安路李萬利	古板新造薛仁貴征東全歌	10~12	158	CADAL13030296_古板新造薛仁貴征東全歌（卷十至卷十二）.djvu	
潮州義安路李萬利	古板新造轅龍鏡韓廷美全歌	17~19	159	CADAL13030697_古板新造轅龍鏡韓廷美全歌（卷十七至卷十九）.djvu	https://web.archive.org/web/20080916000108/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-159.htm
潮州義安路李萬利	古板新造轅龍鏡韓廷美全歌	20~23	159	CADAL13030698_古板新造轅龍鏡韓廷美全歌（卷二十至卷二十三）.djvu	https://web.archive.org/web/20080916000108/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-159.htm
潮州義安路李萬利	古板新造轅龍鏡韓廷美全歌	24~26	159	CADAL13030699_古板新造轅龍鏡韓廷美全歌（卷二十四至卷二十六）.djvu	https://web.archive.org/web/20080916000108/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-159.htm
潮州義安路李萬利	古板新造轅龍鏡韓廷美全歌	27~29	159	CADAL13030700_古板新造轅龍鏡韓廷美全歌（卷二十七至卷二十九）.djvu	https://web.archive.org/web/20080916000108/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-159.htm
潮州義安路李萬利	古板新造轅龍鏡韓廷美全歌	30~33	159	CADAL13030701_古板新造轅龍鏡韓廷美全歌（卷三十至卷三十三）.djvu	https://web.archive.org/web/20080916000108/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-159.htm
潮州義安路李萬利	古板新造轅龍鏡韓廷美全歌	1~3	159	CADAL13030722_古板新造轅龍鏡韓廷美全歌（卷一至卷三）.djvu	https://web.archive.org/web/20080916000108/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-159.htm
潮州義安路李萬利	古板新造轅龍鏡韓廷美全歌	4~6	159	CADAL13030723_古板新造轅龍鏡韓廷美全歌（卷四至卷六）.djvu	https://web.archive.org/web/20080916000108/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-159.htm
潮州義安路李萬利	古板新造轅龍鏡韓廷美全歌	7~10	159	CADAL13030724_古板新造轅龍鏡韓廷美全歌（卷七至卷十）.djvu	https://web.archive.org/web/20080916000108/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-159.htm
潮州義安路李萬利	古板新造轅龍鏡韓廷美全歌	11~13	159	CADAL13030725_古板新造轅龍鏡韓廷美全歌（卷十一至卷十三）.djvu	https://web.archive.org/web/20080916000108/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-159.htm
潮州義安路李萬利	古板新造轅龍鏡韓廷美全歌	14~16	159	CADAL13030726_古板新造轅龍鏡韓廷美全歌（卷十四至卷十六）.djvu	https://web.archive.org/web/20080916000108/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-159.htm
	新造轅龍鏡下棚紅書劍		160		
	新造麒麟上棚		161		
潮州義安路李萬利	古板新造下卷麒麟圖下集全歌	1~2	162	CADAL13030515_古板新造下卷麒麟圖下集全歌（卷一至卷二）.djvu	
潮州義安路李萬利	古板新造下卷麒麟圖下集全歌	3~4	162	CADAL13030516_古板新造下卷麒麟圖下集全歌（卷三至卷四）.djvu	
潮州義安路李萬利	古板新造下卷麒麟圖下集全歌	5~7	162	CADAL13030517_古板新造下卷麒麟圖下集全歌（卷五至卷七）.djvu	
潮州義安路李萬利	古板新造麒麟圖上棚	1~5	未收	CADAL13030520_古板新造麒麟圖上棚（卷一至卷五）.djvu	
潮州義安路李萬利	古板新造麒麟圖上棚	7~9	未收	CADAL13030521_古板新造麒麟圖上棚（卷七至卷九）.djvu	
潮州李春記書坊	新造十二寡婦征西	1~4	未收	CADAL13030638_新造十二寡婦征西（卷一至卷四）.djvu	
新加坡潮州書店	新造燭心記全歌		未收	NCL-9900011298_潮州歌曲選.pdf	https://zh.wikisource.org/wiki/新造燭心記全歌
新加坡潮州書店	新編百戲名		未收	NCL-9900011298_潮州歌曲選.pdf	https://zh.wikisource.org/wiki/新編百戲名
