publisher	title	卷	潮州歌叙录	wikicommons_file	digital_transcription
潮州義安路李萬利	古板新造雙太子紅羅衣	6~10	026	CADAL13030512_古板新造雙太子紅羅衣（卷六至卷十）.djvu	
潮州義安路李萬利	古板新造雙太子紅羅衣 	11~15	026	CADAL13030513_古板新造雙太子紅羅衣 （卷十一至卷十五）.djvu	
潮州義安路李萬利	古板新造雙太子紅羅衣	16~20	026	CADAL13030514_古板新造雙太子紅羅衣（卷十六至卷二十）.djvu	
潮州義安路李萬利	古板新造雙太子下棚禹龍山	1~4	027	CADAL13030672_古板新造雙太子下棚禹龍山（卷一至卷四）.djvu	
潮州義安路李萬利	古板新造雙太子下棚禹龍山	5~8	027	CADAL13030673_古板新造雙太子下棚禹龍山（卷五至卷八）.djvu	
潮州義安路李萬利	古板新造雙鳳釵	1~2	028	CADAL13030263_古板新造雙鳳釵（卷一至卷二）.djvu	https://zh.wikisource.org/wiki/Index:CADAL13030263_古板新造雙鳳釵（卷一至卷二）.djvu
潮州義安路李萬利	古板新造雙鳳釵	3~4	028	CADAL13030264_古板新造雙鳳釵（卷三至卷四）.djvu	https://zh.wikisource.org/wiki/Index:CADAL13030264_古板新造雙鳳釵（卷三至卷四）.djvu
	新造雙如意		029		
	新造雙玉鳳		030		
	新造雙玉鐲		031		
潮州義安路李萬利	古板新造雙玉魚珮全歌	1~3	032	CADAL13030518_古板新造雙玉魚珮全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造雙玉魚珮全歌	4~6	032	CADAL13030519_古板新造雙玉魚珮全歌（卷四至卷六）.djvu	
潮州義安路李萬利	古板新造雙白燕全歌	1~4	033	CADAL13030548_古板新造雙白燕全歌（卷一至卷四）.djvu	https://web.archive.org/web/20080917162448/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-33.htm
潮州義安路李萬利	古板新造雙白燕全歌	5~7	033	CADAL13030549_古板新造雙白燕全歌（卷五至卷七）.djvu	https://web.archive.org/web/20080917162448/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-33.htm
潮州義安路李萬利	古板新造雙白燕全歌	8~10	033	CADAL13030550_古板新造雙白燕全歌（卷八至卷拾）.djvu	https://web.archive.org/web/20080917162448/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-33.htm
潮州義安路李萬利	古板新造雙白燕全歌	11~13	033	CADAL13030551_古板新造雙白燕全歌（卷十一至卷十三）.djvu	https://web.archive.org/web/20080917162448/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-33.htm
潮州義安路李萬利	古板新造雙白燕全歌	14~16	033	CADAL13030552_古板新造雙白燕全歌（卷十四至卷十六）.djvu	https://web.archive.org/web/20080917162448/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-33.htm
潮州義安路李萬利	古板新造雙白燕全歌	17~19	033	CADAL13030553_古板新造雙白燕全歌（卷十七至卷十九）.djvu	https://web.archive.org/web/20080917162448/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-33.htm
潮州義安路李萬利	古板新造雙白燕全歌	20~22	033	CADAL13030554_古板新造雙白燕全歌（卷二十至卷二十二）.djvu	https://web.archive.org/web/20080917162448/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-33.htm
	新造雙狀元英台仔		034		
潮州義安路李萬利	古板新造雙奇緣全歌	1~3	035	CADAL13030246_古板新造雙奇緣全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造雙金龍全歌	1~3	036	CADAL13030962_古板新造雙金龍全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造雙金龍全歌	4~6	036	CADAL13030963_古板新造雙金龍全歌（卷四至卷六）.djvu	
潮州義安路李萬利	古板新造雙退婚鸞鳳圖	1~6	037	CADAL13030311_古板新造雙退婚鸞鳳圖（卷一至卷六）.djvu	
潮州義安路李萬利	古板新造雙退婚鸞鳳圖	7~11	037	CADAL13030312_古板新造雙退婚鸞鳳圖（卷七至卷十一）.djvu	
潮州義安路李萬利	古板新造雙退婚鸞鳳圖	12~16	037	CADAL13030313_古板新造雙退婚鸞鳳圖（卷十二至卷十六）.djvu	
潮州義安路李萬利	古板新造雙退婚鸞鳳圖	17~22	037	CADAL13030314_古板新造雙退婚鸞鳳圖（卷十七至卷廿二）.djvu	
潮州義安路李萬利	古板新造雙退婚下紫荊亭全歌	1~4	038	CADAL13030966_古板新造雙退婚下紫荊亭全歌（卷一至卷四）.djvu	
潮州義安路李萬利	古板新造雙退婚下紫荊亭全歌	5~8	038	CADAL13030967_古板新造雙退婚下紫荊亭全歌（卷五至卷八）.djvu	
潮州義安路李萬利	古板新造雙附馬全歌	1~3	039	CADAL13030745_古板新造雙附馬全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造雙附馬全歌	4~6	039	CADAL13030746_古板新造雙附馬全歌（卷四至卷六）.djvu	
潮州義安路李萬利	古板新造雙錯誤奇中奇全歌	1~4	040	CADAL13030508_古板新造雙錯誤奇中奇全歌（卷一至卷四）.djvu	
潮安友芝堂	新造雙鸚鵡全歌	36~40	041	CADAL13030389_新造雙鸚鵡全歌（卷三十六至卷四十）.djvu	
潮安友芝堂	新造雙鸚鵡全歌	41~45	041	CADAL13030390_新造雙鸚鵡全歌（卷四十一至卷四十五）.djvu	
潮安友芝堂	新造雙鸚鵡全歌	46~50	041	CADAL13030391_新造雙鸚鵡全歌（卷四十六至五十卷）.djvu	
潮安友芝堂	新造雙鸚鵡全歌	1~5	041	CADAL13030573_新造雙鸚鵡全歌（卷一至卷五）.djvu	
潮安友芝堂	新造雙鸚鵡全歌	6~10	041	CADAL13030574_新造雙鸚鵡全歌（卷六至卷十）.djvu	
潮安友芝堂	新造雙鸚鵡全歌	11~15	041	CADAL13030575_新造雙鸚鵡全歌（卷十一至卷十五）.djvu	
